ID,Name,Category,"Energy, kilocalories (kcal)","Fat, total (g)","Fatty acids, saturated (g)","Fatty acids, monounsaturated (g)","Fatty acids, polyunsaturated (g)",Linoleic acid (g),Alpha-linolenic acid (g),Eicosapentaenoic acid EPA (g),Docosahexaenoic acid (DHA) (g),Cholesterol (mg),"Carbohydrates, available (g)",Sugars (g),Starch (g),Dietary fibres (g),Protein (g),Salt (NaCl) (g),Alcohol (g),Water (g),"Vitamin A activity, RE (µg)","Vitamin A activity, RAE (µg)",Retinol (µg),Beta- carotene activity (µg),Beta-carotene (µg),Vitamin B1 (thiamine) (mg),Vitamin B2 (riboflavin) (mg),Vitamin B6 (pyridoxine) (mg),Vitamin B12 (cobalamin) (µg),Niacin (mg),Folate (µg),Pantothenic acid (mg),Vitamin C (ascorbic acid) (mg),Vitamin D (calciferol) (µg),Vitamin E (α-tocopherol) (mg),Potassium (K) (mg),Sodium (Na) (mg),Chloride (Cl) (mg),Calcium (Ca) (mg),Magnesium (Mg) (mg),Phosphorus (P) (mg),Iron (Fe) (mg),Iodide (I) (µg),Zinc (Zn) (mg),Selenium (Se) (µg),Record has changed
1531,"Prune plum pie, home-made, baked (with cake dough)","Sweets/Cakes and tarts;Prepared dishes/Cakes, pies and gratins",156,7.2,3.2,2.7,0.8,0.73,0.05,0.001,0.001,20.0,18.4,8.4,9.9,2.1,3.2,0.2,0.0,69.2,25.0,17.0,9.0,93.0,93.0,0.04,0.05,0.05,0.08,0.33,4.5,0.28,2.1,0.2,1.12,210.0,99.0,150.0,25.0,12.0,54.0,0.6,3.3,0.3,2.1,
1529,"Prune plum pie, home-made, baked (with puff pastry)","Sweets/Cakes and tarts;Prepared dishes/Cakes, pies and gratins",153,7.4,3.3,2.9,0.8,0.73,0.05,0.001,0.001,20.0,17.7,8.4,9.1,2.1,2.9,0.3,0.0,70.0,25.0,17.0,9.0,93.0,93.0,0.04,0.05,0.04,0.08,0.32,4.6,0.27,2.1,0.2,1.17,200.0,120.0,180.0,25.0,9.5,44.0,0.5,3.2,0.2,2.1,
1056,"Prune plum, stewed, drained (without addition of sugar)",Fruit/Cooked fruit (incl. cans),43,0.1,0.0,0.0,0.1,0.04,0.02,0.0,0.0,0.0,8.7,8.7,0.0,2.3,0.7,0.0,0.0,88.2,25.0,12.0,0.0,147.0,135.0,0.02,0.02,0.03,0.0,0.4,1.9,0.13,1.7,0.0,0.75,180.0,1.5,1.2,15.0,7.9,23.0,0.4,0.1,0.1,0.7,
874,Prussian cookie,Sweets/Cookies/Biscuits,438,22.4,13.2,5.2,1.3,0.48,0.18,0.017,0.002,59.0,53.8,27.4,26.0,1.2,4.7,0.8,0.0,18.3,205.0,198.0,190.0,89.0,89.0,0.06,0.02,0.06,0.0,0.12,3.0,0.14,0.0,0.4,0.67,75.0,310.0,480.0,10.0,14.0,52.0,0.6,0.6,0.5,1.0,
806,"Pudding, caramel",Sweets/Creams and puddings,125,2.1,1.4,0.6,0.1,0.03,0.02,0.002,0.0,12.0,23.0,20.1,2.9,0.1,3.4,0.2,0.0,69.3,38.0,38.0,37.0,8.0,8.0,0.03,0.2,0.03,0.3,0.1,8.0,,0.0,0.1,0.16,150.0,70.0,95.0,94.0,9.0,77.0,,6.2,0.3,,
810,"Pudding, chocolate",Sweets/Creams and puddings,121,2.6,0.5,1.1,0.9,0.03,0.02,0.002,0.0,3.0,21.0,12.1,8.9,1.0,3.0,0.3,0.0,71.2,25.0,24.0,22.0,19.0,19.0,0.14,0.16,0.02,0.08,0.3,3.0,0.2,2.0,0.0,0.11,180.0,130.0,51.0,90.0,14.0,80.0,0.5,3.2,0.4,,
809,"Pudding, vanilla",Sweets/Creams and puddings,102,2.1,0.3,0.9,0.8,0.03,0.02,0.002,0.0,7.0,18.0,10.4,7.6,0.1,2.8,0.3,0.0,76.2,31.0,30.0,29.0,13.0,13.0,0.1,0.14,0.02,0.09,0.3,0.0,0.3,0.0,0.0,0.13,120.0,140.0,120.0,96.0,10.0,40.0,0.1,5.9,0.3,,
14141,Puffed or extruded cereals with cocoa or chocolate,"Bread, flakes and breakfast cereals/Muesli mixes and breakfast cereals",380,2.8,1.0,0.8,0.7,0.65,0.04,0.0,0.0,0.0,76.6,20.7,55.9,6.5,8.9,0.5,0.0,5.2,0.0,0.0,0.0,2.0,2.0,,0.02,0.06,0.0,2.8,20.9,0.19,0.0,0.0,0.75,520.0,210.0,280.0,26.0,82.0,190.0,5.2,2.0,1.7,2.6,
14137,"Puffed rice, crispy","Bread, flakes and breakfast cereals/Muesli mixes and breakfast cereals",385,1.5,0.5,0.2,0.2,0.21,0.01,0.0,0.0,0.0,86.0,6.6,79.4,1.3,6.3,1.2,0.0,4.9,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.0,4.32,13.1,0.49,0.0,0.0,0.17,180.0,460.0,540.0,7.6,33.0,170.0,0.7,0.0,1.0,2.6,
14139,Puffed wheat with honey or other sugars,"Bread, flakes and breakfast cereals/Muesli mixes and breakfast cereals",377,2.2,0.4,0.8,0.9,0.85,0.05,0.0,0.0,0.0,78.2,30.5,47.7,5.5,8.4,0.0,0.0,4.9,0.0,0.0,0.0,0.0,0.0,,0.02,0.06,0.0,2.8,20.9,0.19,0.0,0.0,0.75,290.0,19.0,50.0,23.0,72.0,230.0,2.4,0.0,2.1,3.9,
904,"Puff pastry, home-made (with butter), raw","Cereal products, pulses and potatoes/Dough",364,24.7,14.6,5.8,1.4,0.54,0.2,0.018,0.002,65.0,29.4,0.3,28.8,1.3,5.2,0.8,0.0,39.8,252.0,243.0,234.0,109.0,109.0,0.09,0.02,0.07,0.0,0.13,6.7,0.2,0.0,0.4,0.74,82.0,340.0,530.0,11.0,15.0,57.0,0.6,0.7,0.5,1.1,
905,"Puff pastry, home-made (with vegetable fat), raw","Cereal products, pulses and potatoes/Dough",349,23.2,7.1,11.1,4.4,3.73,0.64,0.0,0.0,0.0,29.3,0.2,28.8,1.3,5.2,0.9,0.0,41.5,9.0,4.0,0.0,52.0,52.0,0.09,0.02,0.07,0.01,0.2,7.3,0.23,0.0,1.0,3.7,88.0,360.0,560.0,9.6,15.0,58.0,0.7,1.1,0.5,1.0,
928,Puff pastry sticks,Savoury snacks/Puff pastry snacks,490,32.9,15.0,11.6,4.0,2.93,0.58,0.013,0.002,45.0,40.4,0.3,39.6,1.8,7.1,2.6,0.0,18.3,161.0,153.0,144.0,99.0,99.0,0.09,0.03,0.09,0.01,0.22,4.8,0.22,0.0,0.9,3.05,120.0,1040.0,1580.0,14.0,21.0,79.0,0.9,1.5,0.7,1.4,
13445,"Puff pastry (with vegetable fat), raw","Cereal products, pulses and potatoes/Dough",385,24.3,10.9,9.8,2.6,2.38,0.11,0.0,0.0,0.0,35.1,0.1,34.7,1.6,5.7,1.0,0.0,32.2,0.0,0.0,0.0,0.0,0.0,0.08,0.01,0.02,0.0,0.16,5.0,0.16,0.0,0.0,2.42,83.0,400.0,620.0,4.6,7.4,31.0,0.3,0.5,0.3,1.1,
1662,"Pumpkin piccata, prepared",Prepared dishes/Other savoury dishes,140,8.5,2.3,4.3,1.0,0.68,0.2,0.004,0.002,69.0,9.4,3.7,5.7,2.2,5.5,0.2,0.0,74.5,401.0,221.0,42.0,2151.0,2151.0,0.06,0.12,0.09,0.33,0.41,17.4,0.73,8.8,0.5,,360.0,97.0,200.0,100.0,13.0,100.0,0.6,9.3,0.6,,
